trek_id,trek_name,latitude,longitude,status,weather_file
1,Nag Tibba,30.5822,78.0261,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_1_weather.json
2,Benog Tibba,30.4578,77.9945,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_2_weather.json
3,George Everest,30.4534,78.021,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_3_weather.json
4,Landour–Lal Tibba,30.4618,78.0983,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_4_weather.json
5,Deoriatal,30.495,79.1245,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_5_weather.json
6,Deoriatal–Chandrashila,30.495,79.1245,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_6_weather.json
7,Tungnath,30.4851,79.1765,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_7_weather.json
8,Auli–Gorson Bugyal,30.5312,79.5658,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_8_weather.json
9,Kunjkharak,29.4187,79.4185,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_9_weather.json
10,Pangot–Kilbury,29.4187,79.4185,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_10_weather.json
11,Naina Peak,29.3934,79.4513,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_11_weather.json
12,Snow View–Land's End,29.3934,79.4513,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_12_weather.json
13,Khurpatal,29.3934,79.4513,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_13_weather.json
14,Binsar Zero Point,29.7042,79.7431,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_14_weather.json
15,Kasar Devi–Binsar Trail,29.6375,79.6335,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_15_weather.json
16,Jageshwar–Vriddha Jageshwar,29.6372,79.854,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_16_weather.json
17,Mukteshwar Trail,29.4727,79.6465,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_17_weather.json
18,Chaubatia,29.6425,79.4318,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_18_weather.json
19,Majhkhali Trail,29.6425,79.4318,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_19_weather.json
20,Kanatal Forest Trek,30.4075,78.3475,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_20_weather.json
21,Dhanaulti Eco Park Trails,30.4217,78.2384,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_21_weather.json
22,Surkanda Devi,30.4093,78.2831,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_22_weather.json
23,Nag Devta Trail,30.4598,78.0664,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_23_weather.json
24,Jabarkhet Nature Reserve,30.4571,78.1066,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_24_weather.json
25,Valley View–Lansdowne Trails,29.8377,78.6871,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_25_weather.json
26,Kedarkantha,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_26_weather.json
27,Dayara Bugyal,30.7938,78.6015,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_27_weather.json
28,Har Ki Dun,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_28_weather.json
29,Brahmatal,30.1558,79.5786,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_29_weather.json
30,Kuari Pass,30.505,79.593,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_30_weather.json
